דרך,כיוון,שנה,חודש,ממוצע יומי באלפים,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,דרך: דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2017,11,2.8,16,10,4,4,8,47,114,216,189,184,177,182,199,189,187,239,189,174,155,110,84,66,52,26
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2018,4,3.2,13,6,5,6,7,44,161,245,227,202,212,205,208,198,198,251,204,199,208,129,91,74,58,28
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2019,6,3.5,24,11,6,6,6,53,179,265,267,226,220,205,209,211,218,268,228,218,223,143,108,90,77,46
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2020,7,2.8,29,16,9,9,10,32,135,187,177,158,177,192,192,181,160,191,173,139,145,141,117,98,68,47
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,1,2020,7,1.4,18,10,6,5,5,16,69,90,78,76,85,98,96,93,87,92,78,79,85,77,65,55,40,28
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,2,2020,7,1.4,11,6,3,4,5,15,66,96,99,82,92,95,96,88,74,99,95,60,60,64,52,43,28,19
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2021,3,3.0,18,10,9,6,7,28,118,182,223,182,201,192,221,220,212,240,210,179,158,129,87,76,46,37
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,1,2021,3,1.5,7,3,4,2,4,17,56,101,122,89,104,98,106,105,99,121,117,79,72,58,33,31,18,16
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,2,2021,3,1.5,11,7,4,5,3,11,62,81,100,94,97,95,115,115,113,120,93,101,86,71,53,45,28,21
