דרך,כיוון,שנה,חודש,ממוצע יומי באלפים,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2017,11,2.8,16,10,4,4,8,47,114,216,189,184,177,182,199,189,187,239,189,174,155,110,84,66,52,26
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2018,4,3.2,13,6,5,6,7,44,161,245,227,202,212,205,208,198,198,251,204,199,208,129,91,74,58,28
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2019,6,3.5,24,11,6,6,6,53,179,265,267,226,220,205,209,211,218,268,228,218,223,143,108,90,77,46
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2020,7,2.8,29,16,9,9,10,32,135,187,177,158,177,192,192,181,160,191,173,139,145,141,117,98,68,47
דרך 4 קטע 10 מק''מ 51.1 עד ק''מ 55.0 מצומת חבל עזה עד צומת יד מרדכי מקום הצבה 54.7,0,2021,3,3.0,18,10,9,6,7,28,118,182,223,182,201,192,221,220,212,240,210,179,158,129,87,76,46,37
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,0,2020,12,179.8,2455,1380,853,686,888,2606,8465,10376,10301,10458,10941,10886,11051,10945,10885,10768,11014,10553,10581,9741,8252,6682,5075,3950
דרך 4 קטע 100 מק''מ 110.4 עד ק''מ 112.8 ממחלף גנות עד מחלף מסובים מקום הצבה 112.6,0,2021,8,222.5,4840,3390,2215,1661,2498,3586,9206,11470,11716,11818,11712,11982,12587,12350,12609,12740,12641,12614,12408,11811,10982,10274,8994,6404
דרך 4 קטע 110 מק''מ 112.8 עד ק''מ 115.0 ממחלף מסובים עד מחלף אלוף שדה מקום הצבה 114.9,0,2020,7,193.0,3303,1571,992,939,1262,3421,8556,11416,11226,10843,11077,11322,11177,11189,11153,11036,11274,11586,11541,10289,8942,7435,6405,5018
דרך 4 קטע 120 מק''מ 115.0 עד ק''מ 115.9 ממחלף אלוף שדה עד מחלף בר אילן מקום הצבה 115.1,0,2021,9,224.7,5438,2948,1989,1487,2373,3615,9625,12011,12105,12281,12632,12422,12161,12132,12017,12461,12979,12726,12330,11893,11348,10740,8389,6564
דרך 4 קטע 130 מק''מ 115.9 עד ק''מ 117.3 ממחלף בר אילן עד מחלף גבעת שמואל מקום הצבה 116.0,0,2020,12,165.9,2970,1547,953,709,858,2445,7415,8976,9003,9742,10231,10264,10416,10291,10428,10366,9811,9067,8791,8496,7138,6262,5277,4415
