,index,stationId,stationId,date,Rain,TD,RH,TDmax,TDmin
0,0,41,41,01/01/2017,0,10.1,93,10.1,10.1
1,1,,41,01/01/2017,0,10,94,10.1,10
2,2,,41,01/01/2017,0,10,94,10.1,10
3,3,,41,01/01/2017,0.1,10.1,93,10.1,10
4,4,,41,01/01/2017,0,10,93,10.1,10
5,5,,41,01/01/2017,0,10,94,10,9.9
6,6,,41,01/01/2017,0,10,93,10,9.9
7,7,,41,01/01/2017,0.1,10.1,91,10.1,10
8,8,,41,01/01/2017,0,9.9,92,10,9.9
9,9,,41,01/01/2017,0,9.9,92,10,9.9
10,10,,41,01/01/2017,0,9.9,93,9.9,9.8
11,11,,41,01/01/2017,0,10,93,10,9.9
12,12,,41,01/01/2017,0,9.9,93,9.9,9.9
13,13,,41,01/01/2017,0,9.9,93,9.9,9.9
14,14,,41,01/01/2017,0,9.9,93,9.9,9.9
15,15,,41,01/01/2017,0,9.8,94,9.9,9.8
16,16,,41,01/01/2017,0,9.8,94,9.8,9.7
17,17,,41,01/01/2017,0,9.7,94,9.8,9.7
18,18,,41,01/01/2017,0,9.6,94,9.7,9.5
19,19,,41,01/01/2017,0,9.4,94,9.5,9.4
20,20,,41,01/01/2017,0,9.4,95,9.4,9.3
21,21,,41,01/01/2017,0,9.2,95,9.4,9.1
22,22,,41,01/01/2017,0,9,95,9.1,8.9
23,23,,41,01/01/2017,0,9,95,9.1,8.9
24,24,,41,01/01/2017,0,8.9,96,9.1,8.8
25,25,,41,01/01/2017,0,9,95,9.1,8.9
26,26,,41,01/01/2017,0,8.9,95,8.9,8.9
27,27,,41,01/01/2017,0,9,95,9.3,8.9
28,28,,41,01/01/2017,0,9.3,95,9.3,9.3
29,29,,41,01/01/2017,0,9.4,93,9.4,9.3
30,30,,41,01/01/2017,0,9.2,93,9.3,9
31,31,,41,01/01/2017,0,8.8,94,9,8.7
32,32,,41,01/01/2017,0,8.6,94,8.7,8.5
33,33,,41,01/01/2017,0,8.5,94,8.5,8.3
34,34,,41,01/01/2017,0,8.3,95,8.3,8.2
35,35,,41,01/01/2017,0,8.3,95,8.3,8.2
36,36,,41,01/01/2017,0,8.1,95,8.2,8
37,37,,41,01/01/2017,0,8.2,95,8.3,8.1
38,38,,41,01/01/2017,0,7.9,95,8.1,7.8
39,39,,41,01/01/2017,0,8.6,94,9.1,7.8
40,40,,41,01/01/2017,0,9.1,89,9.3,9
41,41,,41,01/01/2017,0,9.1,89,9.3,8.9
42,42,,41,01/01/2017,0,8.7,91,8.9,8.5
43,43,,41,01/01/2017,0,8.9,92,9,8.6
44,44,,41,01/01/2017,0,8.7,92,8.9,8.6
45,45,,41,01/01/2017,0,9,91,9.2,8.7
46,46,,41,01/01/2017,0,9.3,89,9.7,9.2
47,47,,41,01/01/2017,0,10.1,86,10.3,9.7
48,48,,41,01/01/2017,0,10.5,82,10.6,10.3
49,49,,41,01/01/2017,0,10.7,80,10.8,10.6
50,50,,41,01/01/2017,0,11,79,11.1,10.8
51,51,,41,01/01/2017,0,11.1,80,11.2,11
52,52,,41,01/01/2017,0,11.1,81,11.1,11
53,53,,41,01/01/2017,0,11.4,79,11.6,11.1
54,54,,41,01/01/2017,0,11.6,78,11.7,11.6
55,55,,41,01/01/2017,0,12,78,12.2,11.7
56,56,,41,01/01/2017,0,12.5,77,12.7,12.2
57,57,,41,01/01/2017,0,12.8,75,12.9,12.7
58,58,,41,01/01/2017,0,13,75,13.1,12.9
59,59,,41,01/01/2017,0,13.3,74,13.4,13
60,60,,41,01/01/2017,0,13.6,72,13.8,13.4
61,61,,41,01/01/2017,0,13.9,71,14,13.7
62,62,,41,01/01/2017,0,14.1,70,14.2,14
63,63,,41,01/01/2017,0,14.4,69,14.9,14.2
64,64,,41,01/01/2017,0,14.8,69,14.9,14.7
65,65,,41,01/01/2017,0,15,68,15.1,14.7
66,66,,41,01/01/2017,0,15.1,69,15.2,14.9
67,67,,41,01/01/2017,0,15,67,15.1,14.9
68,68,,41,01/01/2017,0,15.2,66,15.3,15.1
69,69,,41,01/01/2017,0,15.3,66,15.5,15.1
70,70,,41,01/01/2017,0,15.5,65,15.7,15.3
71,71,,41,01/01/2017,0,15.4,65,15.5,15.2
72,72,,41,01/01/2017,0,15.6,65,15.9,15.3
73,73,,41,01/01/2017,0,15.6,65,15.9,15.5
74,74,,41,01/01/2017,0,15.9,65,16.1,15.6
75,75,,41,01/01/2017,0,16.1,63,16.3,16
76,76,,41,01/01/2017,0,16.4,63,16.6,16.1
77,77,,41,01/01/2017,0,16.3,62,16.5,16.2
78,78,,41,01/01/2017,0,15.9,63,16.4,15.4
79,79,,41,01/01/2017,0,15.4,64,15.5,15.2
80,80,,41,01/01/2017,0,15.1,63,15.2,15
81,81,,41,01/01/2017,0,15.1,62,15.1,15.1
82,82,,41,01/01/2017,0,15.3,61,15.4,15.1
83,83,,41,01/01/2017,0,15.6,60,15.6,15.4
84,84,,41,01/01/2017,0,15.6,60,15.7,15.6
85,85,,41,01/01/2017,0,15.8,58,15.9,15.7
86,86,,41,01/01/2017,0,16.3,56,16.7,15.9
87,87,,41,01/01/2017,0,16.6,54,17,16
88,88,,41,01/01/2017,0,15.6,56,16,15.3
89,89,,41,01/01/2017,0,15.2,60,15.3,15.1
90,90,,41,01/01/2017,0,15.2,62,15.2,15.1
91,91,,41,01/01/2017,0,15,60,15.2,15
92,92,,41,01/01/2017,0,14.9,63,15.1,14.8
93,93,,41,01/01/2017,0,14.8,61,14.9,14.7
94,94,,41,01/01/2017,0,14.6,62,14.7,14.5
95,95,,41,01/01/2017,0,14.6,59,14.7,14.4
96,96,,41,01/01/2017,0,14.7,58,14.8,14.6
97,97,,41,01/01/2017,0,14.7,62,14.7,14.6
98,98,,41,01/01/2017,0,14.6,65,14.6,14.5
99,99,,41,01/01/2017,0,14.5,67,14.5,14.4
100,100,,41,01/01/2017,0,14.3,67,14.4,14.1
101,101,,41,01/01/2017,0,13.9,68,14.1,13.8
102,102,,41,01/01/2017,0,13.7,70,13.8,13.6
103,103,,41,01/01/2017,0,13.5,74,13.6,13.4
104,104,,41,01/01/2017,0,13.4,75,13.5,13.3
105,105,,41,01/01/2017,0,13.2,73,13.4,13
106,106,,41,01/01/2017,0,12.8,75,13,12.6
107,107,,41,01/01/2017,0,12.5,75,12.7,12.4
108,108,,41,01/01/2017,0,12.3,76,12.4,12.2
109,109,,41,01/01/2017,0,12.1,77,12.3,11.8
110,110,,41,01/01/2017,0,11.7,80,11.8,11.6
111,111,,41,01/01/2017,0,11.6,80,11.6,11.5
112,112,,41,01/01/2017,0,11.5,81,11.6,11.4
113,113,,41,01/01/2017,0,11.3,81,11.4,11.1
114,114,,41,01/01/2017,0,11.1,81,11.1,11
115,115,,41,01/01/2017,0,11,81,11,10.9
116,116,,41,01/01/2017,0,10.7,84,10.9,10.6
117,117,,41,01/01/2017,0,10.5,86,10.6,10.4
118,118,,41,01/01/2017,0,10.2,87,10.4,10.1
119,119,,41,01/01/2017,0,10.1,87,10.2,10.1
120,120,,41,01/01/2017,0,9.9,88,10.1,9.8
121,121,,41,01/01/2017,0,9.8,88,9.8,9.7
122,122,,41,01/01/2017,0,9.7,88,9.8,9.7
123,123,,41,01/01/2017,0,9.7,88,9.8,9.6
124,124,,41,01/01/2017,0,9.7,88,9.7,9.6
125,125,,41,01/01/2017,0,9.6,89,9.7,9.6
126,126,,41,01/01/2017,0,9.6,88,9.7,9.6
127,127,,41,01/01/2017,0,9.4,89,9.6,9.3
128,128,,41,01/01/2017,0,9.1,90,9.3,9
129,129,,41,01/01/2017,0,9.2,89,9.3,9
130,130,,41,01/01/2017,0,9.4,88,9.5,9.3
131,131,,41,01/01/2017,0,9.6,89,9.8,9.3
132,132,,41,01/01/2017,0,9.8,88,9.9,9.6
133,133,,41,01/01/2017,0,9.4,88,9.6,9.4
134,134,,41,01/01/2017,0,9.9,87,10.5,9.5
135,135,,41,01/01/2017,0,10.9,81,11.1,10.5
136,136,,41,01/01/2017,0.1,11.1,83,11.2,11
137,137,,41,01/01/2017,0,10.9,85,11.2,10.6
138,138,,41,01/01/2017,0.1,11.1,84,11.2,10.9
139,139,,41,01/01/2017,0.1,10.7,86,10.9,10.5
140,140,,41,01/01/2017,0.1,10.3,89,10.5,10.1
141,141,,41,01/01/2017,0.6,10.2,89,10.3,10.1
142,142,,41,01/01/2017,1.7,10.4,91,10.4,10.3
0,0,41,41,01/02/2017,0,9,87,9.1,8.9
1,1,,41,01/02/2017,0,8.9,87,9,8.8
2,2,,41,01/02/2017,0,8.8,87,8.9,8.7
